Date,IWM,QQQ,SPY
2023-03-16,170.04270935058594,301.7644958496094,381.8919372558594
2023-03-17,165.45297241210938,300.33837890625,377.4266052246094
2023-03-20,167.59805297851562,301.4042053222656,381.0558166503906
2023-03-21,170.6901092529297,305.708984375,386.05926513671875
2023-03-22,165.84915161132812,301.5519714355469,379.47833251953125
2023-03-23,165.11305236816406,305.1278076171875,380.504150390625
2023-03-24,166.60659790039062,306.25079345703125,383.0010070800781
2023-03-27,168.45896911621094,304.15252685546875,383.71722412109375
2023-03-28,168.21646118164062,302.53704833984375,382.8558654785156
2023-03-29,170.12704467773438,308.05352783203125,388.420654296875
2023-03-30,169.89425659179688,310.9693298339844,390.6949768066406
2023-03-31,173.01712036132812,316.1409606933594,396.2016296386719
2023-04-03,173.09471130371094,315.37261962890625,397.71136474609375
2023-04-04,170.05918884277344,314.3087158203125,395.5048522949219
2023-04-05,168.3910675048828,311.20574951171875,394.4693298339844
2023-04-06,168.6431884765625,313.3039245605469,396.0080871582031
2023-04-10,170.4470977783203,313.1266174316406,396.4145202636719
2023-04-11,171.79513549804688,311.1170349121094,396.52105712890625
2023-04-12,170.5343780517578,308.3686828613281,394.90478515625
2023-04-13,172.79408264160156,314.4072265625,400.1502380371094
2023-04-14,171.18417358398438,313.8161926269531,399.1727600097656
2023-04-17,173.3856964111328,314.0821228027344,400.6050720214844
2023-04-18,172.6486053466797,314.101806640625,400.8663024902344
2023-04-19,172.8716583251953,313.9541015625,400.7986145019531
2023-04-20,171.97943115234375,311.5603332519531,398.6114196777344
2023-04-21,172.2024688720703,311.8854064941406,398.9210510253906
2023-04-24,172.08609008789062,311.2352600097656,399.3372802734375
2023-04-25,167.8382568359375,305.3642272949219,392.9982604980469
2023-04-26,166.2186279296875,307.2161865234375,391.3336486816406
2023-04-27,168.43955993652344,315.5696105957031,399.12432861328125
2023-04-28,169.9136962890625,317.7466125488281,402.5309753417969
2023-05-01,170.01068115234375,317.38214111328125,402.1244812011719
2023-05-02,166.519287109375,314.6141052246094,397.6048889160156
2023-05-03,167.13031005859375,312.5552673339844,394.8757629394531
2023-05-04,165.2584991455078,311.4519958496094,392.078857421875
2023-05-05,169.18630981445312,318.07171630859375,399.3372802734375
2023-05-08,168.7983856201172,318.85980224609375,399.4437255859375
2023-05-09,168.2940673828125,316.8403625488281,397.6920166015625
2023-05-10,169.14752197265625,320.28814697265625,399.55010986328125
2023-05-11,167.8479766845703,321.3323669433594,398.85333251953125
2023-05-12,167.5084991455078,320.17974853515625,398.3307800292969
2023-05-15,169.55484008789062,321.91357421875,399.70501708984375
2023-05-16,167.081787109375,322.27801513671875,397.0339050292969
2023-05-17,170.80592346191406,326.17889404296875,401.8534851074219
2023-05-18,171.8436737060547,332.23712158203125,405.7247009277344
2023-05-19,170.7962188720703,331.488525390625,405.1342468261719
2023-05-22,172.88137817382812,332.6016540527344,405.2988586425781
2023-05-23,172.06671142578125,328.38543701171875,400.7502136230469
2023-05-24,170.24342346191406,326.70098876953125,397.84686279296875
2023-05-25,168.91477966308594,334.6506042480469,401.2922058105469
2023-05-26,170.83502197265625,343.2010803222656,406.4891662597656
2023-05-30,170.20465087890625,344.75750732421875,406.64404296875
2023-05-31,168.52684020996094,342.797119140625,404.38916015625
2023-06-01,170.35008239746094,346.7572021484375,408.231201171875
2023-06-02,176.5279083251953,349.3577880859375,414.1346740722656
2023-06-05,174.1615447998047,349.60406494140625,413.34112548828125
2023-06-06,178.7488250732422,349.544921875,414.2411804199219
2023-06-07,182.09329223632812,343.61480712890625,412.8088073730469
2023-06-08,181.4125518798828,347.8801574707031,415.30572509765625
2023-06-09,179.9440460205078,349.2100524902344,416.0509338378906
2023-06-12,180.69288635253906,355.110595703125,419.82525634765625
2023-06-13,182.76431274414062,357.83929443359375,422.5931396484375
2023-06-14,180.7998504638672,360.4399108886719,423.096435546875
2023-06-15,182.28775024414062,364.7348327636719,428.3418273925781
2023-06-16,180.8290252685547,362.43963623046875,426.88275146484375
2023-06-20,180.0413055419922,361.9207458496094,424.6680603027344
2023-06-21,179.62310791015625,356.9886169433594,422.49212646484375
2023-06-22,178.290771484375,361.20068359375,424.0171813964844
2023-06-23,175.6066436767578,357.6199645996094,420.8116455078125
2023-06-26,175.78167724609375,352.8258361816406,419.0923156738281
2023-06-27,178.3199462890625,358.8923645019531,423.6869812011719
2023-06-28,179.19520568847656,359.5928039550781,423.900634765625
2023-06-29,181.25694274902344,358.8726806640625,425.5714416503906
2023-06-30,182.12246704101562,364.40655517578125,430.59344482421875
2023-07-03,182.49200439453125,365.2647399902344,431.0888671875
